Zipcode,House Value less than 10k,House Value from 10k to 14.9k,House Value from 15k to 19.9k,House Value from 20k to 24.9k,House Value from 25k to 29.9k,House Value from 30k to 34.9k,House Value from 35k to 39.9k,House Value from 40k to 49.9k,House Value from 50k to 59.9k,House Value from 60k to 69.9k,House Value from 70k to 79.9k,House Value from 80k to 89.9k,House Value from 90k to 99.9k,House Value from 100k to 124.9k,House Value from 125k to 149.9k,House Value from 150k to 174.9k,House Value from 175k to 199.9k,House Value from 200k to 249.9k,House Value from 250k to 299.9k,House Value from 300k to 399.9k,House Value from 400k to 499.9k,House Value from 500k to 749.9k,House Value from 800k to 999.9k,House Value from 1 million to 1.499 millions,House Value from 1.5 millions to 2 millions,House Value more than 2 millions
77058,34.0,0.0,0.0,0.0,21.0,0.0,34.0,23.0,76.0,49.0,61.0,50.0,43.0,157.0,337.0,354.0,305.0,383.0,168.0,179.0,3.0,88.0,13.0,0.0,9.0,0.0
77023,15.0,20.0,10.0,37.0,9.0,0.0,12.0,36.0,86.0,115.0,321.0,472.0,627.0,803.0,290.0,560.0,195.0,268.0,194.0,165.0,37.0,63.0,0.0,10.0,0.0,0.0
77093,275.0,70.0,70.0,40.0,71.0,146.0,228.0,685.0,741.0,619.0,929.0,737.0,437.0,1080.0,292.0,286.0,35.0,179.0,20.0,20.0,0.0,13.0,0.0,0.0,0.0,11.0
77032,17.0,53.0,0.0,46.0,77.0,127.0,18.0,123.0,105.0,52.0,105.0,247.0,198.0,148.0,125.0,110.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77056,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,22.0,0.0,0.0,90.0,82.0,124.0,0.0,96.0,160.0,175.0,381.0,384.0,355.0,848.0,713.0,463.0,292.0,467.0
77065,46.0,9.0,9.0,32.0,15.0,50.0,39.0,0.0,5.0,10.0,93.0,218.0,308.0,1318.0,1241.0,1341.0,742.0,887.0,480.0,289.0,46.0,15.0,23.0,0.0,0.0,0.0
77069,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,133.0,107.0,67.0,192.0,55.0,152.0,177.0,213.0,463.0,984.0,596.0,602.0,438.0,217.0,0.0,24.0,35.0,18.0
77070,246.0,28.0,53.0,27.0,29.0,14.0,21.0,33.0,18.0,46.0,61.0,272.0,397.0,1181.0,1536.0,1751.0,1347.0,1954.0,575.0,451.0,177.0,51.0,7.0,0.0,0.0,23.0
77345,69.0,0.0,0.0,26.0,12.0,0.0,13.0,5.0,40.0,0.0,30.0,0.0,44.0,91.0,303.0,704.0,590.0,1485.0,1649.0,1902.0,604.0,630.0,87.0,14.0,6.0,17.0
77377,162.0,8.0,17.0,26.0,21.0,21.0,77.0,34.0,9.0,112.0,100.0,97.0,101.0,408.0,399.0,598.0,859.0,2106.0,1927.0,1543.0,533.0,316.0,58.0,66.0,0.0,24.0
77042,65.0,26.0,67.0,0.0,52.0,41.0,23.0,323.0,207.0,334.0,11.0,135.0,104.0,190.0,211.0,246.0,113.0,411.0,285.0,791.0,601.0,477.0,150.0,18.0,15.0,50.0
77388,183.0,52.0,0.0,36.0,0.0,0.0,48.0,65.0,0.0,30.0,121.0,302.0,384.0,1368.0,1822.0,2124.0,1587.0,2026.0,1134.0,690.0,343.0,188.0,87.0,16.0,0.0,0.0
77043,29.0,17.0,37.0,0.0,7.0,25.0,0.0,19.0,20.0,128.0,99.0,322.0,120.0,554.0,369.0,544.0,400.0,651.0,539.0,1050.0,236.0,44.0,0.0,0.0,0.0,0.0
77089,108.0,17.0,10.0,31.0,27.0,0.0,24.0,36.0,18.0,285.0,257.0,335.0,1056.0,2186.0,2159.0,1919.0,879.0,618.0,671.0,224.0,17.0,15.0,0.0,33.0,0.0,0.0
77033,99.0,26.0,31.0,62.0,36.0,296.0,338.0,1026.0,665.0,840.0,933.0,516.0,227.0,210.0,106.0,74.0,15.0,25.0,0.0,0.0,13.0,0.0,0.0,0.0,11.0,13.0
77064,74.0,70.0,6.0,66.0,0.0,0.0,0.0,1.0,203.0,98.0,218.0,296.0,759.0,1886.0,1503.0,1368.0,782.0,1262.0,462.0,338.0,103.0,0.0,0.0,15.0,0.0,10.0
77099,9.0,9.0,32.0,56.0,45.0,80.0,0.0,144.0,101.0,256.0,397.0,672.0,917.0,2032.0,1001.0,373.0,95.0,70.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
