Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77012,20103.0,5070.0,4439.0,10594.0,17240.0,3961.0,3704.0,9575.0,2331.0,894.0,551.0,886.0,268.0,158.0,103.0,7.0,112.0,18.0,66.0,28.0,152.0,39.0,15.0,98.0
77013,19614.0,5394.0,2715.0,11505.0,15779.0,4214.0,2096.0,9469.0,2799.0,698.0,560.0,1541.0,525.0,204.0,0.0,321.0,314.0,185.0,40.0,89.0,197.0,93.0,19.0,85.0
77014,33230.0,8505.0,4666.0,20059.0,26290.0,4919.0,3964.0,17407.0,5873.0,3277.0,639.0,1957.0,389.0,26.0,0.0,363.0,566.0,189.0,63.0,314.0,112.0,94.0,0.0,18.0
77015,55756.0,12384.0,9092.0,34280.0,46261.0,9310.0,7634.0,29317.0,7976.0,2541.0,1244.0,4191.0,778.0,166.0,171.0,441.0,355.0,159.0,28.0,168.0,386.0,208.0,15.0,163.0
77016,26012.0,6815.0,4143.0,15054.0,22952.0,5441.0,3687.0,13824.0,2678.0,1333.0,322.0,1023.0,146.0,18.0,19.0,109.0,221.0,23.0,115.0,83.0,15.0,0.0,0.0,15.0
77017,33062.0,6613.0,8107.0,18342.0,27995.0,5162.0,6841.0,15992.0,4043.0,1174.0,1155.0,1714.0,299.0,28.0,74.0,197.0,648.0,233.0,32.0,383.0,77.0,16.0,5.0,56.0
77018,26857.0,4207.0,1992.0,20658.0,22954.0,3414.0,1438.0,18102.0,2984.0,542.0,439.0,2003.0,533.0,170.0,79.0,284.0,222.0,81.0,0.0,141.0,164.0,0.0,36.0,128.0
77019,20373.0,1935.0,997.0,17441.0,15402.0,1458.0,702.0,13242.0,3169.0,246.0,56.0,2867.0,707.0,69.0,162.0,476.0,803.0,108.0,63.0,632.0,292.0,54.0,14.0,224.0
77020,25475.0,9054.0,3780.0,12641.0,22125.0,7514.0,3386.0,11225.0,2891.0,1298.0,302.0,1291.0,102.0,41.0,30.0,31.0,201.0,121.0,41.0,39.0,156.0,80.0,21.0,55.0
77021,25573.0,7494.0,3379.0,14700.0,20221.0,6002.0,2300.0,11919.0,4293.0,1285.0,961.0,2047.0,295.0,105.0,13.0,177.0,647.0,102.0,64.0,481.0,117.0,0.0,41.0,76.0
77022,27850.0,8125.0,5244.0,14481.0,24687.0,6978.0,4774.0,12935.0,2974.0,1074.0,445.0,1455.0,79.0,58.0,0.0,21.0,78.0,7.0,17.0,54.0,32.0,8.0,8.0,16.0
77023,27906.0,7720.0,4753.0,15433.0,24386.0,5972.0,4235.0,14179.0,2849.0,1408.0,469.0,972.0,525.0,285.0,24.0,216.0,45.0,24.0,14.0,7.0,101.0,31.0,11.0,59.0
